"Length"	"GC"
"WBGene00007058"	2040	0.448529411764706
"WBGene00007059"	2274	0.40457343887423
"WBGene00007060"	1933	0.392136575271599
"WBGene00007062"	564	0.48936170212766
"WBGene00007063"	1357	0.371407516580693
"WBGene00007064"	1995	0.538847117794486
"WBGene00007065"	818	0.400977995110024
"WBGene00007066"	447	0.539149888143177
"WBGene00007067"	1190	0.385714285714286
"WBGene00007068"	775	0.460645161290323
"WBGene00007069"	296	0.371621621621622
"WBGene00007070"	1631	0.355610055180871
"WBGene00007071"	3546	0.373378454596729
"WBGene00007072"	1725	0.348405797101449
"WBGene00007073"	1774	0.355693348365276
"WBGene00007074"	741	0.480431848852901
"WBGene00007075"	1320	0.438636363636364
"WBGene00007076"	654	0.440366972477064
"WBGene00007077"	1176	0.452380952380952
"WBGene00007078"	441	0.399092970521542
"WBGene00007079"	690	0.449275362318841
"WBGene00007080"	1045	0.420095693779904
"WBGene00007081"	827	0.41354292623942
"WBGene00007082"	1770	0.493220338983051
"WBGene00007083"	738	0.375338753387534
"WBGene00007085"	219	0.310502283105023
"WBGene00007087"	2916	0.380658436213992
"WBGene00007088"	1969	0.417470797359066
"WBGene00007089"	1247	0.410585404971933
"WBGene00007090"	1859	0.442711135018827
"WBGene00007091"	2337	0.39880188275567
"WBGene00007092"	2415	0.411180124223603
"WBGene00007093"	1711	0.402104032729398
"WBGene00007094"	2370	0.4
"WBGene00007096"	875	0.355428571428571
"WBGene00007097"	1233	0.360097323600973
"WBGene00007099"	562	0.398576512455516
"WBGene00007100"	1840	0.413586956521739
"WBGene00007101"	1818	0.414191419141914
"WBGene00007102"	1022	0.395303326810176
"WBGene00007103"	3335	0.426686656671664
"WBGene00007104"	1388	0.337175792507205
"WBGene00007105"	1334	0.441529235382309
"WBGene00007106"	898	0.393095768374165
"WBGene00007107"	613	0.358890701468189
"WBGene00007108"	1745	0.383381088825215
"WBGene00007109"	2484	0.431159420289855
"WBGene00007110"	1483	0.413351314902225
"WBGene00007111"	2907	0.39938080495356
"WBGene00007112"	1063	0.378174976481656
"WBGene00007113"	1129	0.372010628875111
"WBGene00007114"	1209	0.372208436724566
"WBGene00007115"	1337	0.424831712789828
"WBGene00007116"	3471	0.435321233074042
"WBGene00007117"	2325	0.36
"WBGene00007118"	1965	0.418320610687023
"WBGene00007119"	841	0.435196195005945
"WBGene00007120"	782	0.544757033248082
"WBGene00007121"	1505	0.405980066445183
"WBGene00007122"	1084	0.452952029520295
"WBGene00007123"	852	0.336854460093897
"WBGene00007124"	1344	0.470238095238095
"WBGene00007125"	692	0.38728323699422
"WBGene00007126"	1492	0.449731903485255
"WBGene00007127"	921	0.326818675352877
"WBGene00007128"	968	0.410123966942149
"WBGene00007129"	1052	0.462927756653992
"WBGene00007130"	969	0.381836945304438
"WBGene00007131"	1663	0.422128683102826
"WBGene00007132"	1399	0.37240886347391
"WBGene00007133"	612	0.395424836601307
"WBGene00007134"	1263	0.387965162311956
"WBGene00007135"	2596	0.423343605546995
"WBGene00007136"	740	0.425675675675676
"WBGene00007137"	1311	0.392067124332571
"WBGene00007138"	1734	0.381776239907728
"WBGene00007139"	2872	0.416782729805014
"WBGene00007140"	1537	0.355237475601822
"WBGene00007141"	1636	0.389975550122249
"WBGene00007142"	571	0.413309982486865
"WBGene00007143"	2084	0.468330134357006
"WBGene00007144"	826	0.380145278450363
"WBGene00007145"	1411	0.426647767540751
"WBGene00007146"	1374	0.39665211062591
"WBGene00007147"	1620	0.432716049382716
"WBGene00007148"	549	0.446265938069217
"WBGene00007149"	497	0.372233400402414
"WBGene00007150"	3447	0.454308093994778
"WBGene00007151"	996	0.352409638554217
"WBGene00007152"	525	0.392380952380952
"WBGene00007153"	2042	0.387365328109696
"WBGene00007154"	9828	0.352767602767603
"WBGene00007155"	867	0.416378316032295
"WBGene00007156"	795	0.393710691823899
"WBGene00007158"	405	0.446913580246914
"WBGene00007159"	1376	0.455668604651163
"WBGene00007160"	853	0.400937866354045
"WBGene00007161"	1064	0.385338345864662
"WBGene00007162"	1198	0.390651085141903
"WBGene00007163"	1553	0.414681262073406
"WBGene00007164"	288	0.40625
"WBGene00007165"	1843	0.387954422137819
"WBGene00007166"	1137	0.393139841688654
"WBGene00007167"	2119	0.384615384615385
"WBGene00007168"	2154	0.416434540389972
"WBGene00007169"	2552	0.449843260188088
"WBGene00007170"	3803	0.39521430449645
"WBGene00007171"	1533	0.427266797129811
"WBGene00007172"	882	0.408163265306122
"WBGene00007173"	402	0.383084577114428
"WBGene00007174"	1559	0.415009621552277
"WBGene00007175"	2085	0.438848920863309
"WBGene00007176"	3536	0.492364253393665
"WBGene00007177"	2117	0.426547000472367
"WBGene00007178"	1249	0.394715772618094
"WBGene00007179"	885	0.410169491525424
"WBGene00007180"	613	0.415986949429038
"WBGene00007181"	2102	0.407231208372978
"WBGene00007182"	951	0.374342797055731
"WBGene00007183"	398	0.42713567839196
"WBGene00007184"	4272	0.390683520599251
"WBGene00007185"	354	0.426553672316384
"WBGene00007186"	2265	0.403090507726269
"WBGene00007187"	1123	0.375779162956367
"WBGene00007188"	1216	0.416118421052632
"WBGene00007189"	1316	0.405775075987842
"WBGene00007190"	815	0.45521472392638
"WBGene00007191"	1564	0.423913043478261
"WBGene00007192"	1218	0.454844006568144
"WBGene00007193"	2064	0.399709302325581
"WBGene00007194"	974	0.414784394250513
"WBGene00007195"	770	0.432467532467532
"WBGene00007196"	479	0.463465553235908
"WBGene00007197"	2099	0.397332062887089
"WBGene00007198"	1924	0.413201663201663
"WBGene00007199"	1185	0.461603375527426
"WBGene00007200"	612	0.367647058823529
"WBGene00007201"	911	0.432491767288694
"WBGene00007202"	757	0.441215323645971
"WBGene00007203"	1506	0.397742363877822
"WBGene00007204"	1266	0.385466034755134
"WBGene00007206"	1272	0.398584905660377
"WBGene00007207"	1940	0.398969072164948
"WBGene00007208"	1272	0.398584905660377
"WBGene00007209"	1081	0.45513413506013
"WBGene00007210"	1668	0.415467625899281
"WBGene00007211"	1818	0.370737073707371
"WBGene00007212"	1049	0.453765490943756
"WBGene00007213"	1107	0.377597109304426
"WBGene00007214"	712	0.428370786516854
"WBGene00007215"	1596	0.364661654135338
"WBGene00007216"	717	0.396094839609484
"WBGene00007217"	1118	0.395348837209302
"WBGene00007218"	823	0.443499392466586
"WBGene00007219"	732	0.383879781420765
"WBGene00007220"	5042	0.397461324871083
"WBGene00007221"	1917	0.384454877412624
"WBGene00007222"	1625	0.372307692307692
"WBGene00007223"	375	0.418666666666667
"WBGene00007224"	697	0.476327116212339
"WBGene00007225"	1285	0.418677042801556
"WBGene00007226"	992	0.414314516129032
"WBGene00007227"	3678	0.411092985318108
"WBGene00007228"	1696	0.378537735849057
"WBGene00007229"	1180	0.363559322033898
"WBGene00007230"	3812	0.38405036726128
"WBGene00007231"	234	0.35042735042735
"WBGene00007232"	292	0.301369863013699
"WBGene00007233"	395	0.367088607594937
"WBGene00007234"	1216	0.426809210526316
"WBGene00007235"	1177	0.423109600679694
"WBGene00007236"	1456	0.400412087912088
"WBGene00007237"	1413	0.43312101910828
"WBGene00007238"	315	0.425396825396825
"WBGene00007239"	553	0.433996383363472
"WBGene00007240"	371	0.342318059299191
"WBGene00007241"	436	0.405963302752294
"WBGene00007242"	1736	0.42741935483871
"WBGene00007243"	240	0.483333333333333
"WBGene00007244"	783	0.417624521072797
"WBGene00007245"	840	0.425
"WBGene00007246"	240	0.475
"WBGene00007247"	1966	0.446083418107833
"WBGene00007248"	3137	0.454574434172777
"WBGene00007249"	860	0.41046511627907
"WBGene00007250"	395	0.432911392405063
"WBGene00007251"	375	0.429333333333333
"WBGene00007252"	2187	0.382258802011888
"WBGene00007253"	1005	0.34228855721393
"WBGene00007254"	1435	0.354006968641115
"WBGene00007255"	1727	0.374059061957151
"WBGene00007256"	2314	0.399308556611927
"WBGene00007257"	824	0.33373786407767
"WBGene00007258"	2995	0.400667779632721
"WBGene00007259"	561	0.413547237076649
"WBGene00007260"	2264	0.445229681978799
"WBGene00007261"	1659	0.397830018083183
"WBGene00007262"	957	0.426332288401254
"WBGene00007264"	845	0.409467455621302
"WBGene00007265"	684	0.349415204678363
"WBGene00007266"	1387	0.385724585436193
"WBGene00007267"	1977	0.413758219524532
"WBGene00007268"	864	0.390046296296296
"WBGene00007269"	1057	0.39356669820246
"WBGene00007270"	1029	0.37220602526725
"WBGene00007271"	415	0.404819277108434
"WBGene00007273"	571	0.416812609457093
"WBGene00007274"	702	0.465811965811966
"WBGene00007275"	885	0.380790960451977
"WBGene00007277"	991	0.431886982845611
"WBGene00007278"	717	0.370990237099024
"WBGene00007279"	930	0.325806451612903
"WBGene00007281"	1395	0.355555555555556
"WBGene00007282"	3198	0.415259537210757
"WBGene00007283"	827	0.388149939540508
"WBGene00007284"	2425	0.408247422680412
"WBGene00007285"	1156	0.43598615916955
"WBGene00007286"	1608	0.434701492537313
"WBGene00007287"	4017	0.456559621608165
"WBGene00007288"	452	0.36283185840708
"WBGene00007289"	1620	0.37962962962963
"WBGene00007290"	1814	0.42502756339581
"WBGene00007291"	1026	0.387914230019493
"WBGene00007292"	1470	0.41156462585034
"WBGene00007293"	696	0.364942528735632
"WBGene00007294"	468	0.393162393162393
"WBGene00007295"	1090	0.422018348623853
"WBGene00007296"	2236	0.427549194991055
"WBGene00007297"	3080	0.423051948051948
"WBGene00007299"	432	0.439814814814815
"WBGene00007300"	901	0.487236403995561
"WBGene00007301"	698	0.398280802292264
"WBGene00007302"	1182	0.365482233502538
"WBGene00007303"	511	0.459882583170254
"WBGene00007304"	697	0.36154949784792
"WBGene00007305"	1242	0.424315619967794
"WBGene00007306"	766	0.379895561357702
"WBGene00007307"	717	0.535564853556485
"WBGene00007308"	1322	0.478819969742814
"WBGene00007309"	1155	0.445887445887446
"WBGene00007310"	1455	0.301718213058419
"WBGene00007311"	261	0.417624521072797
"WBGene00007312"	628	0.385350318471338
"WBGene00007313"	854	0.444964871194379
"WBGene00007314"	3137	0.427797258527255
"WBGene00007315"	907	0.385887541345094
"WBGene00007316"	345	0.428985507246377
"WBGene00007317"	816	0.379901960784314
"WBGene00007319"	438	0.378995433789954
"WBGene00007320"	662	0.419939577039275
"WBGene00007321"	1076	0.398698884758364
"WBGene00007322"	1785	0.342857142857143
"WBGene00007323"	1234	0.424635332252836
"WBGene00007324"	614	0.389250814332248
"WBGene00007325"	1757	0.385315879339784
"WBGene00007326"	776	0.403350515463918
"WBGene00007327"	4402	0.386869604725125
"WBGene00007328"	1236	0.410194174757282
"WBGene00007329"	4985	0.394383149448345
"WBGene00007330"	1715	0.418075801749271
"WBGene00007331"	1339	0.410007468259895
"WBGene00007332"	1248	0.431089743589744
"WBGene00007333"	2801	0.431631560157087
"WBGene00007334"	718	0.385793871866295
"WBGene00007335"	1230	0.429268292682927
"WBGene00007336"	1001	0.307692307692308
"WBGene00007337"	564	0.425531914893617
"WBGene00007338"	840	0.36547619047619
"WBGene00007339"	1885	0.419098143236074
"WBGene00007340"	3144	0.381997455470738
"WBGene00007341"	1058	0.363894139886578
"WBGene00007342"	738	0.382113821138211
"WBGene00007343"	1005	0.406965174129353
"WBGene00007344"	997	0.422266800401204
"WBGene00007345"	471	0.475583864118896
"WBGene00007346"	1062	0.434086629001883
"WBGene00007347"	1714	0.41365227537923
"WBGene00007348"	2200	0.433636363636364
"WBGene00007349"	839	0.370679380214541
"WBGene00007350"	1618	0.454882571075402
"WBGene00007351"	1263	0.381631037212985
"WBGene00007352"	2762	0.454742939898624
"WBGene00007353"	566	0.369257950530035
"WBGene00007354"	1214	0.474464579901153
"WBGene00007355"	590	0.430508474576271
"WBGene00007356"	461	0.405639913232104
"WBGene00007357"	893	0.417693169092945
"WBGene00007358"	2047	0.367855398143625
"WBGene00007359"	553	0.376130198915009
"WBGene00007360"	765	0.326797385620915
"WBGene00007361"	2076	0.38776493256262
"WBGene00007362"	1535	0.362866449511401
"WBGene00007363"	1109	0.36609558160505
"WBGene00007364"	1145	0.361572052401747
"WBGene00007365"	1283	0.334372564302416
"WBGene00007366"	1046	0.336520076481836
"WBGene00007367"	1257	0.369132856006364
"WBGene00007368"	1687	0.365737996443391
"WBGene00007369"	489	0.449897750511247
"WBGene00007370"	1108	0.344765342960289
"WBGene00007372"	9546	0.452545568824639
"WBGene00007373"	569	0.43585237258348
"WBGene00007374"	1845	0.385907859078591
"WBGene00007375"	1022	0.376712328767123
"WBGene00007376"	793	0.4640605296343
"WBGene00007377"	676	0.420118343195266
"WBGene00007378"	1744	0.434633027522936
"WBGene00007379"	1132	0.413427561837456
"WBGene00007380"	2588	0.384466769706337
"WBGene00007381"	2864	0.393505586592179
"WBGene00007382"	428	0.425233644859813
"WBGene00007383"	321	0.445482866043614
"WBGene00007384"	1513	0.409781890284204
"WBGene00007385"	872	0.461009174311927
"WBGene00007386"	1539	0.361923326835608
"WBGene00007387"	1887	0.367779544250132
"WBGene00007388"	1420	0.372535211267606
"WBGene00007389"	854	0.426229508196721
"WBGene00007390"	640	0.4078125
"WBGene00007391"	1298	0.380585516178737
"WBGene00007392"	1287	0.364413364413364
"WBGene00007393"	1210	0.370247933884297
"WBGene00007394"	1780	0.462921348314607
"WBGene00007395"	1370	0.434306569343066
"WBGene00007396"	1697	0.406599882144962
"WBGene00007397"	1433	0.39288206559665
"WBGene00007398"	784	0.377551020408163
"WBGene00007399"	991	0.369323915237134
"WBGene00007400"	988	0.396761133603239
"WBGene00007401"	1077	0.410399257195915
"WBGene00007402"	1720	0.37093023255814
"WBGene00007403"	1646	0.393074119076549
"WBGene00007404"	1436	0.34958217270195
"WBGene00007405"	1059	0.390934844192635
"WBGene00007406"	765	0.458823529411765
"WBGene00007407"	562	0.316725978647687
"WBGene00007408"	457	0.442013129102845
"WBGene00007409"	2385	0.389517819706499
"WBGene00007410"	666	0.34984984984985
"WBGene00007411"	700	0.345714285714286
"WBGene00007412"	2662	0.405334335086401
"WBGene00007413"	2303	0.405123751628311
"WBGene00007414"	3751	0.448946947480672
"WBGene00007415"	1539	0.450942170240416
"WBGene00007416"	1236	0.398058252427184
"WBGene00007417"	1170	0.41025641025641
"WBGene00007418"	912	0.368421052631579
"WBGene00007419"	594	0.378787878787879
"WBGene00007420"	485	0.321649484536082
"WBGene00007421"	721	0.34119278779473
"WBGene00007422"	1708	0.323770491803279
"WBGene00007423"	779	0.332477535301669
"WBGene00007424"	1486	0.353297442799462
"WBGene00007425"	2257	0.390784226849801
"WBGene00007426"	1446	0.338865836791148
"WBGene00007427"	657	0.322678843226788
"WBGene00007428"	2792	0.422994269340974
"WBGene00007429"	847	0.358913813459268
"WBGene00007430"	989	0.395348837209302
"WBGene00007431"	1696	0.316627358490566
"WBGene00007432"	903	0.337763012181617
"WBGene00007433"	4373	0.41573290647153
"WBGene00007434"	1299	0.401847575057737
"WBGene00007435"	1531	0.369039843239713
"WBGene00007436"	810	0.407407407407407
"WBGene00007437"	393	0.379134860050891
"WBGene00007438"	1017	0.459193706981318
"WBGene00007439"	257	0.482490272373541
"WBGene00007440"	938	0.35181236673774
"WBGene00007441"	171	0.456140350877193
"WBGene00007442"	180	0.4
"WBGene00007443"	464	0.394396551724138
"WBGene00007444"	2460	0.39349593495935
"WBGene00007445"	1461	0.445585215605749
"WBGene00007446"	1614	0.426889714993804
"WBGene00007447"	715	0.344055944055944
"WBGene00007448"	1219	0.429040196882691
"WBGene00007449"	263	0.406844106463878
"WBGene00007450"	697	0.374461979913917
"WBGene00007451"	970	0.293814432989691
"WBGene00007452"	1059	0.341831916902738
"WBGene00007453"	982	0.354378818737271
"WBGene00007454"	882	0.45578231292517
"WBGene00007455"	2055	0.360097323600973
"WBGene00007456"	963	0.300103842159917
"WBGene00007457"	941	0.438894792773645
"WBGene00007458"	456	0.37280701754386
"WBGene00007459"	404	0.371287128712871
"WBGene00007460"	1452	0.346418732782369
"WBGene00007461"	2930	0.424914675767918
"WBGene00007462"	1652	0.37772397094431
"WBGene00007463"	4288	0.461753731343284
"WBGene00007464"	2425	0.425154639175258
"WBGene00007465"	1787	0.355903749300504
"WBGene00007466"	1167	0.359040274207369
"WBGene00007467"	1434	0.348675034867504
"WBGene00007468"	1314	0.382039573820396
"WBGene00007469"	1561	0.342088404868674
"WBGene00007470"	1388	0.356628242074928
"WBGene00007471"	1383	0.353579175704989
"WBGene00007472"	1449	0.372670807453416
"WBGene00007473"	1287	0.355866355866356
"WBGene00007474"	604	0.410596026490066
"WBGene00007475"	84	0.583333333333333
"WBGene00007476"	927	0.363538295577131
"WBGene00007478"	516	0.459302325581395
"WBGene00007479"	5133	0.487629066822521
"WBGene00007480"	2643	0.479379493000378
"WBGene00007481"	762	0.510498687664042
"WBGene00007482"	2054	0.407984420642649
"WBGene00007483"	1273	0.387274155538099
"WBGene00007484"	3663	0.390663390663391
"WBGene00007485"	591	0.397631133671743
"WBGene00007486"	2009	0.470881035340966
"WBGene00007487"	849	0.425206124852768
"WBGene00007488"	1573	0.417673235855054
"WBGene00007489"	1294	0.436630602782071
"WBGene00007490"	4019	0.417019158994775
"WBGene00007492"	2047	0.411822178798241
"WBGene00007493"	1243	0.408688656476267
"WBGene00007494"	953	0.421825813221406
"WBGene00007495"	790	0.3
"WBGene00007496"	754	0.387267904509284
"WBGene00007497"	462	0.359307359307359
"WBGene00007499"	1280	0.4046875
"WBGene00007500"	1297	0.443330763299923
"WBGene00007501"	1043	0.451581975071908
"WBGene00007502"	1064	0.451127819548872
"WBGene00007503"	1244	0.409163987138264
"WBGene00007504"	1193	0.430008382229673
"WBGene00007505"	8304	0.416184971098266
"WBGene00007506"	1500	0.312
"WBGene00007507"	1392	0.389367816091954
"WBGene00007508"	1405	0.385053380782918
"WBGene00007509"	1194	0.381909547738693
"WBGene00007511"	366	0.412568306010929
"WBGene00007512"	987	0.422492401215805
"WBGene00007513"	2192	0.401916058394161
"WBGene00007514"	3826	0.394145321484579
"WBGene00007515"	732	0.378415300546448
"WBGene00007516"	910	0.42967032967033
"WBGene00007517"	797	0.422835633626098
"WBGene00007518"	1700	0.397058823529412
"WBGene00007520"	3979	0.4212113596381
"WBGene00007521"	1278	0.359937402190923
"WBGene00007522"	685	0.372262773722628
"WBGene00007523"	510	0.452941176470588
"WBGene00007525"	864	0.391203703703704
"WBGene00007528"	1615	0.362848297213622
"WBGene00007529"	1994	0.407221664994985
"WBGene00007530"	1825	0.396712328767123
"WBGene00007531"	954	0.352201257861635
"WBGene00007533"	1560	0.367948717948718
"WBGene00007534"	2602	0.426979246733282
"WBGene00007535"	436	0.344036697247706
"WBGene00007536"	1431	0.371767994409504
"WBGene00007537"	439	0.359908883826879
"WBGene00007538"	374	0.355614973262032
"WBGene00007539"	70	0.414285714285714
"WBGene00007540"	735	0.31156462585034
"WBGene00007541"	362	0.383977900552486
"WBGene00007542"	556	0.320143884892086
"WBGene00007543"	310	0.383870967741935
"WBGene00007544"	316	0.370253164556962
"WBGene00007545"	3202	0.435040599625234
"WBGene00007546"	1409	0.324343506032647
"WBGene00007547"	1423	0.363316936050597
"WBGene00007548"	1019	0.397448478900883
"WBGene00007549"	1750	0.401142857142857
"WBGene00007550"	1725	0.353623188405797
"WBGene00007551"	1049	0.342230695900858
"WBGene00007552"	1475	0.36
"WBGene00007553"	827	0.385731559854897
"WBGene00007554"	2316	0.41580310880829
"WBGene00007555"	997	0.437311935807422
"WBGene00007556"	2016	0.381944444444444
"WBGene00007557"	619	0.350565428109855
"WBGene00007558"	680	0.380882352941176
"WBGene00007559"	715	0.432167832167832
"WBGene00007560"	559	0.398926654740608
"WBGene00007561"	1066	0.397748592870544
"WBGene00007562"	2300	0.393913043478261
"WBGene00007563"	1456	0.438873626373626
"WBGene00007564"	1429	0.406578026592022
"WBGene00007565"	1161	0.44702842377261
"WBGene00007567"	213	0.300469483568075
"WBGene00007569"	671	0.403874813710879
"WBGene00007570"	717	0.405857740585774
"WBGene00007571"	352	0.414772727272727
"WBGene00007572"	390	0.420512820512821
"WBGene00007573"	766	0.421671018276762
"WBGene00007574"	1337	0.394166043380703
"WBGene00007576"	1293	0.396751740139211
"WBGene00007577"	2585	0.40541586073501
"WBGene00007578"	3408	0.461854460093897
"WBGene00007579"	824	0.372572815533981
"WBGene00007580"	1276	0.40282131661442
"WBGene00007581"	2210	0.41131221719457
"WBGene00007583"	5669	0.446286823072852
"WBGene00007584"	1100	0.403636363636364
"WBGene00007585"	1093	0.361390667886551
"WBGene00007586"	2502	0.402478017585931
"WBGene00007587"	3370	0.397032640949555
"WBGene00007588"	6211	0.415070037031074
"WBGene00007589"	635	0.349606299212598
"WBGene00007590"	573	0.382198952879581
"WBGene00007591"	1362	0.406754772393539
"WBGene00007592"	2785	0.38491921005386
"WBGene00007593"	3215	0.410575427682737
"WBGene00007594"	1300	0.346923076923077
"WBGene00007595"	1700	0.398823529411765
"WBGene00007597"	804	0.391791044776119
"WBGene00007598"	1453	0.373021335168617
"WBGene00007599"	1665	0.376576576576577
"WBGene00007600"	834	0.42326139088729
"WBGene00007601"	1004	0.5
"WBGene00007602"	2102	0.507611798287345
"WBGene00007603"	703	0.425320056899004
"WBGene00007604"	1458	0.420438957475995
"WBGene00007605"	1425	0.410526315789474
"WBGene00007606"	1295	0.356756756756757
"WBGene00007607"	1023	0.394916911045943
"WBGene00007608"	972	0.33641975308642
"WBGene00007609"	500	0.37
"WBGene00007610"	1265	0.418181818181818
"WBGene00007611"	984	0.420731707317073
"WBGene00007613"	442	0.400452488687783
"WBGene00007614"	1231	0.407798537774167
"WBGene00007615"	1732	0.408775981524249
"WBGene00007616"	555	0.376576576576577
"WBGene00007617"	1126	0.428063943161634
"WBGene00007618"	389	0.403598971722365
"WBGene00007619"	318	0.424528301886792
"WBGene00007620"	2623	0.362943194815097
"WBGene00007621"	1253	0.372705506783719
"WBGene00007622"	1368	0.398391812865497
"WBGene00007623"	929	0.403659849300323
"WBGene00007624"	3537	0.452926208651399
"WBGene00007625"	663	0.428355957767722
"WBGene00007626"	1310	0.389312977099237
"WBGene00007627"	1286	0.398133748055988
"WBGene00007628"	854	0.405152224824356
"WBGene00007629"	839	0.395709177592372
"WBGene00007630"	698	0.489971346704871
"WBGene00007631"	1921	0.388339406559084
"WBGene00007632"	813	0.392373923739237
"WBGene00007633"	1233	0.381184103811841
"WBGene00007634"	440	0.509090909090909
"WBGene00007635"	2036	0.399803536345776
"WBGene00007636"	471	0.428874734607219
"WBGene00007637"	1052	0.461026615969582
"WBGene00007638"	1257	0.416070007955449
"WBGene00007639"	450	0.5
"WBGene00007640"	2490	0.406425702811245
"WBGene00007641"	1278	0.396713615023474
"WBGene00007642"	862	0.378190255220418
"WBGene00007643"	1503	0.421157684630739
"WBGene00007644"	539	0.35621521335807
"WBGene00007645"	1720	0.431976744186047
"WBGene00007646"	2252	0.381438721136767
"WBGene00007647"	1600	0.3975
"WBGene00007648"	843	0.422301304863582
"WBGene00007649"	921	0.373507057546145
"WBGene00007650"	1713	0.381786339754816
"WBGene00007651"	3289	0.46275463666768
"WBGene00007652"	1346	0.394502228826152
"WBGene00007653"	1236	0.436893203883495
"WBGene00007654"	1326	0.413273001508296
"WBGene00007655"	660	0.366666666666667
"WBGene00007656"	1164	0.442439862542955
"WBGene00007657"	2333	0.411487355336477
"WBGene00007658"	1206	0.373963515754561
"WBGene00007659"	1102	0.383847549909256
"WBGene00007660"	1349	0.389918458117124
"WBGene00007661"	1154	0.363951473136915
"WBGene00007662"	1199	0.378648874061718
"WBGene00007663"	189	0.333333333333333
"WBGene00007664"	1668	0.408273381294964
"WBGene00007666"	1741	0.4192992533027
"WBGene00007667"	1268	0.359621451104101
"WBGene00007668"	1979	0.393633148054573
"WBGene00007669"	1437	0.369519832985386
"WBGene00007670"	1101	0.401453224341508
"WBGene00007672"	5666	0.393222732086128
"WBGene00007673"	372	0.43010752688172
"WBGene00007674"	600	0.403333333333333
"WBGene00007675"	1386	0.423520923520924
"WBGene00007676"	978	0.342535787321063
"WBGene00007677"	2024	0.380928853754941
"WBGene00007678"	1034	0.342359767891683
"WBGene00007679"	997	0.454363089267803
"WBGene00007680"	919	0.422198041349293
"WBGene00007681"	1331	0.449286250939143
"WBGene00007682"	363	0.454545454545455
"WBGene00007683"	1543	0.377187297472456
"WBGene00007684"	429	0.389277389277389
"WBGene00007685"	971	0.390319258496395
"WBGene00007686"	1316	0.427811550151976
"WBGene00007687"	3150	0.384761904761905
"WBGene00007688"	1922	0.414672216441207
"WBGene00007689"	634	0.391167192429022
"WBGene00007690"	902	0.411308203991131
"WBGene00007691"	1806	0.375968992248062
"WBGene00007692"	1947	0.375963020030817
"WBGene00007693"	1932	0.358695652173913
"WBGene00007694"	3578	0.379821129122415
"WBGene00007695"	2088	0.379310344827586
"WBGene00007696"	1561	0.397181294042281
"WBGene00007697"	1034	0.385880077369439
"WBGene00007698"	2221	0.415578568212517
"WBGene00007699"	1252	0.446485623003195
"WBGene00007700"	1244	0.44935691318328
"WBGene00007701"	972	0.447530864197531
"WBGene00007702"	359	0.448467966573816
"WBGene00007703"	6256	0.486413043478261
"WBGene00007704"	972	0.35082304526749
"WBGene00007705"	1063	0.401693320790216
"WBGene00007707"	1306	0.399693721286371
"WBGene00007708"	195	0.466666666666667
"WBGene00007709"	894	0.470917225950783
"WBGene00007710"	1391	0.393961179007908
"WBGene00007711"	1386	0.408369408369408
"WBGene00007712"	663	0.408748114630468
"WBGene00007713"	276	0.41304347826087
"WBGene00007714"	569	0.430579964850615
"WBGene00007715"	886	0.489841986455982
"WBGene00007716"	1078	0.327458256029685
"WBGene00007717"	1195	0.4
"WBGene00007718"	1117	0.404655326768129
"WBGene00007719"	183	0.557377049180328
"WBGene00007720"	809	0.359703337453646
"WBGene00007721"	1598	0.423028785982478
"WBGene00007722"	607	0.405271828665568
"WBGene00007723"	4633	0.405352903086553
"WBGene00007724"	1891	0.358011634056055
"WBGene00007725"	2260	0.356194690265487
"WBGene00007726"	558	0.390681003584229
"WBGene00007727"	1136	0.430457746478873
"WBGene00007728"	710	0.349295774647887
"WBGene00007729"	1535	0.431270358306189
"WBGene00007730"	710	0.454929577464789
"WBGene00007731"	797	0.390213299874529
"WBGene00007732"	1628	0.433046683046683
"WBGene00007733"	978	0.456032719836401
"WBGene00007734"	1410	0.417021276595745
"WBGene00007735"	1185	0.414345991561181
"WBGene00007736"	4807	0.452881214894945
"WBGene00007739"	1185	0.342616033755274
"WBGene00007740"	479	0.329853862212944
"WBGene00007741"	1320	0.377272727272727
"WBGene00007742"	822	0.39294403892944
"WBGene00007743"	741	0.367071524966262
"WBGene00007744"	1576	0.398477157360406
"WBGene00007745"	2545	0.370137524557957
"WBGene00007746"	1749	0.396798170383076
"WBGene00007747"	438	0.367579908675799
"WBGene00007748"	1498	0.378504672897196
"WBGene00007749"	1794	0.399665551839465
"WBGene00007750"	3979	0.433526011560694
"WBGene00007751"	3851	0.407945988055051
"WBGene00007752"	10546	0.405746254504077
"WBGene00007753"	2731	0.362138410838521
"WBGene00007754"	1458	0.330589849108368
"WBGene00007755"	2329	0.349935594675827
"WBGene00007756"	2853	0.410094637223975
"WBGene00007757"	1872	0.391025641025641
"WBGene00007758"	518	0.403474903474904
"WBGene00007759"	288	0.447916666666667
"WBGene00007760"	827	0.376058041112455
"WBGene00007761"	4189	0.38935306755789
"WBGene00007762"	1393	0.453697056712132
"WBGene00007763"	1441	0.391394864677307
"WBGene00007764"	4520	0.358628318584071
"WBGene00007765"	404	0.341584158415842
"WBGene00007766"	1105	0.487782805429864
"WBGene00007767"	201	0.402985074626866
"WBGene00007768"	879	0.394766780432309
"WBGene00007769"	1047	0.413562559694365
"WBGene00007770"	531	0.382297551789077
"WBGene00007771"	1120	0.39375
"WBGene00007772"	2116	0.414461247637051
